id,name,code,account_type,chart_template_id/id,reconcile
a7340,Risku nodeva,7340,expense,l10n_lv.account_chart_template_latvia,False
a7410,Nemateriālo ieguldījumu vērtības norakstīšana,7410,expense,l10n_lv.account_chart_template_latvia,False
a7420,Pamatlīdzekļu nolietojums,7420,expense,l10n_lv.account_chart_template_latvia,False
a7430,Krājumu normatīvie zudumi,7430,expense,l10n_lv.account_chart_template_latvia,False
a7440,Apgrozāmo līdzekļu vērtības norakstīšana,7440,expense,l10n_lv.account_chart_template_latvia,False
a7450,Krājumu virsnormatīvie zudumi,7450,expense,l10n_lv.account_chart_template_latvia,False
a7460,Krājumu iztrūkumi,7460,expense,l10n_lv.account_chart_template_latvia,False
a7470,Izmaksas no aktīvu vērtības samazinājuma,7470,expense,l10n_lv.account_chart_template_latvia,False
a7510,Dabas aizsardzības izmaksas,7510,expense,l10n_lv.account_chart_template_latvia,False
a7520,Izslēgto pamatlīdzekļu nenoamortizētā vērtība (atlikusī vērtība),7520,expense,l10n_lv.account_chart_template_latvia,False
a7530,Nodevas par ražošanā izmantotiem zemes gabaliem,7530,expense,l10n_lv.account_chart_template_latvia,False
a7540,Apdrošināšanas maksājumi (izņemot darbinieku apdrošināšanu),7540,expense,l10n_lv.account_chart_template_latvia,False
a7550,Pārējie saimnieciskās darbības izdevumi,7550,expense,l10n_lv.account_chart_template_latvia,False
a7560,Strādnieku vervēšanas un apmācības izdevumi,7560,expense,l10n_lv.account_chart_template_latvia,False
a7570,Komandējumu izdevumi,7570,expense,l10n_lv.account_chart_template_latvia,False
a7580,Neatskaitāmais PVN (iekļaujams izmaksās),7580,expense,l10n_lv.account_chart_template_latvia,False
a7590,Nekustamā īpašuma nodoklis par pārskata gadu,7590,expense,l10n_lv.account_chart_template_latvia,False
a7610,"Iesaiņojamais materiāls, tara",7610,expense,l10n_lv.account_chart_template_latvia,False
a7620,Preču transporta izmaksas,7620,expense,l10n_lv.account_chart_template_latvia,False
a7630,Preču transporta apdrošināšana,7630,expense,l10n_lv.account_chart_template_latvia,False
a7640,Samaksātās komisijas naudas,7640,expense,l10n_lv.account_chart_template_latvia,False
a7650,Citas pārdošanas izmaksas,7650,expense,l10n_lv.account_chart_template_latvia,False
a7710,Sakaru izdevumi,7710,expense,l10n_lv.account_chart_template_latvia,False
a7720,Kantora (biroja) izdevumi,7720,expense,l10n_lv.account_chart_template_latvia,False
a7730,Juristu pakalpojumu izmaksas,7730,expense,l10n_lv.account_chart_template_latvia,False
a7740,Gada pārskata un revīzijas izdevumi,7740,expense,l10n_lv.account_chart_template_latvia,False
a7750,Naudas apgrozījuma blakus izdevumi,7750,expense,l10n_lv.account_chart_template_latvia,False
a7760,Transporta izdevumi administrācijas vajadzībām,7760,expense,l10n_lv.account_chart_template_latvia,False
a7770,Citi vadīšanas un administrācijas izdevumi,7770,expense,l10n_lv.account_chart_template_latvia,False
a7780,Reprezentācijas izmaksas,7780,expense,l10n_lv.account_chart_template_latvia,False
a7810,Pārskata periodā iekļaujamie iepriekšējo periodu izdevumi,7810,expense,l10n_lv.account_chart_template_latvia,False
a7910,Dzīvokļu saimniecības izdevumi,7910,expense,l10n_lv.account_chart_template_latvia,False
a7920,Komunālās saimniecības izdevumi,7920,expense,l10n_lv.account_chart_template_latvia,False
a7930,Sadzīves pakalpojumu izdevumi,7930,expense,l10n_lv.account_chart_template_latvia,False
a7940,Sabiedriskās ēdināšanas izdevumi,7940,expense,l10n_lv.account_chart_template_latvia,False
a7950,Izglītības iestāžu izdevumi,7950,expense,l10n_lv.account_chart_template_latvia,False
a7960,Medicīniskās apkalpošanas izdevumi,7960,expense,l10n_lv.account_chart_template_latvia,False
a7970,Kultūras un sporta iestāžu un pasākumu izdevumi,7970,expense,l10n_lv.account_chart_template_latvia,False
a7980,Pārējie sociālās infrastruktūras uzturēšanas izdevumi,7980,expense,l10n_lv.account_chart_template_latvia,False
a8110,"Ieņēmumi no līdzdalības, vērtspapīriem un aizdevumiem",8110,income_other,l10n_lv.account_chart_template_latvia,False
a8120,Pārējie ieņēmumi no procentiem un tiem pielīdzināmi ieņēmumi,8120,income_other,l10n_lv.account_chart_template_latvia,False
a8130,Vekseļu diskonta ieņēmumi,8130,income_other,l10n_lv.account_chart_template_latvia,False
a8140,Ziedojumi un citi tiem pielīdzināmi ieņēmumi,8140,income_other,l10n_lv.account_chart_template_latvia,False
a8150,Ienākumi no valūtu kursa paaugstināšanās,8150,income_other,l10n_lv.account_chart_template_latvia,False
a8160,Saņemtas soda naudas un līgumsodi,8160,income_other,l10n_lv.account_chart_template_latvia,False
a8170,Peļņa no ārzemju valūtas pārdošanas vai pirkšanas,8170,income_other,l10n_lv.account_chart_template_latvia,False
a8190,Citi ieņēmumi,8190,income_other,l10n_lv.account_chart_template_latvia,False
a8199,Naudas starpības ieņēmumi,8199,income_other,l10n_lv.account_chart_template_latvia,False
a8210,Īstermiņa finanšu ieguldījumu vērtības norakstīšana,8210,expense,l10n_lv.account_chart_template_latvia,False
a8220,Samaksātie procenti un tiem pielīdzināmie izdevumi,8220,expense,l10n_lv.account_chart_template_latvia,False
a8230,Vekseļu diskonta izmaksas,8230,expense,l10n_lv.account_chart_template_latvia,False
a8240,Ilgtermiņa aizdevumu procentu samaksa,8240,expense,l10n_lv.account_chart_template_latvia,False
a8250,Zaudējumi no valūtu kursu pazemināšanas,8250,expense,l10n_lv.account_chart_template_latvia,False
